,MLAAD_minimal_42,,,MLAAD_minimal_123,,MLAAD_minimal_222,
Epoch #,EER (%),CI 95%,GPU hrs,EER (%),CI 95%,EER (%),CI 95%
5,14.272028353820449,"[14.04%, 14.53%]",,19.053684215639286,"[18.75%, 19.33%]",19.845041870134576,"[19.56%, 20.14%]"
10,14.850786659844822,"[14.60%, 15.12%]",,17.554361002810772,"[17.29%, 17.82%]",16.12177230807093,"[15.87%, 16.39%]"
15,14.762394563682758,"[14.50%, 15.02%]",,15.561523936893645,"[15.29%, 15.82%]",14.577838652643033,"[14.33%, 14.82%]"
20,12.931808187505666,"[12.65%, 13.17%]",,15.309585864538944,"[15.07%, 15.57%]",13.974922768545264,"[13.72%, 14.22%]"
25,12.427012680854371,"[12.18%, 12.64%]",,15.806713858269756,"[15.57%, 16.07%]",9.968524053469425,"[9.77%, 10.20%]"
30,10.989605131924925,"[10.78%, 11.21%]",,13.751028133621752,"[13.51%, 13.97%]",11.01608156418792,"[10.79%, 11.23%]"
35,11.094564233255182,"[10.84%, 11.32%]",,13.45059375930987,"[13.21%, 13.68%]",10.10541245158867,"[9.91%, 10.30%]"
40,8.707900696864112,"[8.49%, 8.91%]",,11.847516158698495,"[11.64%, 12.11%]",10.613355601466266,"[10.44%, 10.83%]"
45,9.125055956374753,"[8.91%, 9.32%]",,11.144822319080864,"[10.94%, 11.37%]",10.322545302643679,"[10.13%, 10.53%]"
50,8.062783797261766,"[7.88%, 8.24%]",4.3321,11.881478958071579%,"[11.68%, 12.12%]",7.995116284341283,"[7.81%, 8.20%]"
,,,,,,,
,,,,,,,
,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,MLAAD_intermediate_222,
Epoch #,EER (%),CI 95%,GPU hrs,EER (%),CI 95%,EER (%),CI 95%
5,12.880811885548487,"[12.66%, 13.10%]",,8.380161101252542,"[8.17%, 8.56%]",10.195838050334832,"[9.99%, 10.40%]"
10,8.871446673056745,"[8.66%, 9.07%]",,7.4134051137909145,"[7.24%, 7.61%]",7.177386403378107,"[7.00%, 7.36%]"
15,8.134790034066034,"[7.94%, 8.33%]",,6.690167836742096,"[6.48%, 6.85%]",7.183034046604406,"[6.98%, 7.36%]"
20,7.6756149048612095,"[7.50%, 7.87%]",,5.55579886791964,"[5.39%, 5.71%]",8.182095255365724,"[7.99%, 8.35%]"
25,8.019740359830577,"[7.84%, 8.21%]",,6.881576104555523,"[6.71%, 7.06%]",7.638413889356633,"[7.44%, 7.81%]"
30,5.6569626827973005,"[5.49%, 5.82%]",,5.952397057109179,"[5.79%, 6.11%]",5.758217070580159,"[5.59%, 5.91%]"
35,6.542269503775761,"[6.38%, 6.71%]",,5.823746875121433,"[5.67%, 5.98%]",6.366780597904226,"[6.20%, 6.51%]"
40,7.255973278240482,"[7.06%, 7.42%]",,6.146214752017409,"[5.99%, 6.30%]",5.98784992163517,"[5.81%, 6.15%]"
45,6.475444412781886,"[6.30%, 6.64%]",,5.756364713806458,"[5.61%, 5.92%]",6.782174073546365,"[6.63%, 6.92%]"
50,6.434900975350699,"[6.25%, 6.62%]",17.3505,6.13427182233851,"[5.98%, 6.33%]",6.903233682628914,"[6.72%, 7.09%]"
,,,,,,,
,,,,,,,
,,,,,,,
,MLAAD_curated_42,,,MLAAD_curated_123,,MLAAD_curated_222,
Epoch #,EER (%),CI 95%,GPU hrs,EER (%),CI 95%,EER (%),CI 95%
5,24.839129567503853,"[24.54%, 25.11%]",,33.130237296478114,"[32.80%, 33.42%]",39.74356640933643,"[39.44%, 40.06%]"
10,18.5242646334987,"[18.28%, 18.78%]",,29.202982526585753,"[28.88%, 29.49%]",34.35465593953603,"[34.04%, 34.66%]"
15,28.376729077885578,"[28.09%, 28.64%]",,25.95785089310001,"[25.68%, 26.24%]",26.84287236247296,"[26.54%, 27.15%]"
20,24.62502652099012,"[24.31%, 24.90%]",,35.31604963537687,"[35.00%, 35.63%]",26.805761919873582,"[26.53%, 27.08%]"
25,27.201336541326114,"[26.90%, 27.49%]",,35.92267023302204,"[35.61%, 36.25%]",28.261018127533905,"[27.98%, 28.53%]"
30,20.188415476082536,"[19.92%, 20.47%]",,30.760140765255233,"[30.45%, 31.08%]",23.284339857259432,"[23.00%, 23.56%]"
35,21.891388870898798,"[21.58%, 22.16%]",,28.911148660026164,"[28.61%, 29.18%]",25.883797520821727,"[25.60%, 26.15%]"
40,29.115976289781486,"[28.81%, 29.40%]",,31.031326988588525,"[30.77%, 31.34%]",25.024967132106262,"[24.75%, 25.31%]"
45,23.63218365866611,"[23.32%, 23.94%]",,29.237035898864033,"[28.94%, 29.50%]",24.470380037045192,"[24.19%, 24.74%]"
50,22.72401454606686,"[22.46%, 23.02%]",28.9323,22.540753921479734,"[22.27%, 22.79%]",28.19392131782444,"[27.92%, 28.47%]"