AASIST + FFDiff,,,,,,,,,,,MHFA + FFDiff,,,,,,,,,
,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,,,,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,
Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,,Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs
5,47.49722475162882,"[47.13%, 47.90%]",1.8395,33.35098428817533,"[33.01%, 33.69%]",1.8482,31.69736325013277,"[31.36%, 32.06%]",1.8478,,5,12.984566273331346,"[12.77%, 13.21%]",1.6207,11.279120144294911,"[11.07%, 11.50%]",1.6796,13.76547106330065,"[13.52%, 13.97%]",1.6778
10,35.868979152364545,"[35.54%, 36.22%]",3.6809,40.01419556234861,"[39.67%, 40.39%]",3.6937,29.41187716150927,"[29.08%, 29.76%]",3.6916,,10,9.71861948369882,"[9.51%, 9.93%]",3.2409,7.988186987552298,"[7.79%, 8.14%]",3.3545,10.043302008989288,"[9.85%, 10.25%]",3.3580
15,32.112018509643406,"[31.77%, 32.46%]",5.5343,31.514840841677138,"[31.17%, 31.84%]",5.5425,21.832697790241312,"[21.53%, 22.10%]",5.5370,,15,9.134965383469554,"[8.93%, 9.34%]",4.8657,8.174219330855017,"[8.02%, 8.35%]",5.0247,10.086254873515278,"[9.89%, 10.29%]",5.0355
20,30.220721183114645,"[29.86%, 30.62%]",7.3845,21.5963031553178,"[21.32%, 21.90%]",7.3900,21.403418455241376,"[21.11%, 21.67%]",7.3788,,20,8.684028470396228,"[8.46%, 8.87%]",6.4895,9.430309184876235,"[9.24%, 9.63%]",6.6995,10.10707002966206,"[9.91%, 10.31%]",6.7168
25,26.845281789567764,"[26.51%, 27.14%]",9.2191,19.29488407186249,"[19.00%, 19.60%]",9.2418,20.524135201999922,"[20.25%, 20.80%]",9.2190,,25,7.7535541364972875,"[7.57%, 7.92%]",8.1086,7.930143550121109%,"[7.76%, 8.10%]",8.3786,8.954204758882428,"[8.76%, 9.13%]",8.3926
30,26.56834371721306,"[26.28%, 26.89%]",11.0502,18.381262094737252,"[18.10%, 18.67%]",11.0934,19.00463084336101,"[18.73%, 19.29%]",11.0613,,30,8.307960085747963,"[8.11%, 8.51%]",9.7321,8.083055515977358,"[7.90%, 8.28%]",10.0556,8.970667558255506,"[8.78%, 9.19%]",10.0697
,,,,,,,,,,,,,,,,,,,,
AASIST + FFDiffAbs,,,,,,,,,,,MHFA + FFDiffAbs,,,,,,,,,
,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,,,,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,
Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,,Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs
5,30.01809456886391,"[29.71%, 30.40%]",1.8526,33.923719026462706,"[33.62%, 34.26%]",1.8530,32.86079922412342,"[32.50%, 33.21%]",1.8626,,5,9.096908313148452,"[8.90%, 9.31%]",1.6806,8.2156821302281,"[8.03%, 8.41%]",1.6794,7.915714253332124,"[7.71%, 8.11%]",1.6784
10,21.58741729596,"[21.30%, 21.87%]",3.7037,29.987293045607032,"[29.66%, 30.31%]",3.7026,20.429538392290457,"[20.12%, 20.70%]",3.7189,,10,6.939334190381202,"[6.75%, 7.12%]",3.3604,7.536693004157868,"[7.35%, 7.72%]",3.3532,7.66431961840861,"[7.48%, 7.87%]",3.3595
15,17.188111472352112,"[16.93%, 17.45%]",5.5545,23.341735651464322,"[23.06%, 23.65%]",5.5537,16.693678257321608,"[16.43%, 16.95%]",5.5697,,15,6.954696482001996,"[6.80%, 7.15%]",5.0451,7.078165518179344,"[6.89%, 7.24%]",5.0227,7.222463343393391,"[7.03%, 7.42%]",5.0378
20,16.13842988614432,"[15.88%, 16.41%]",7.4031,23.232890690776266,"[22.95%, 23.56%]",7.4084,15.888991813789621,"[15.63%, 16.17%]",7.4215,,20,5.901129036436408,"[5.72%, 6.07%]",6.7282,7.445153264769504,"[7.26%, 7.63%]",6.6965,7.587598733209849,"[7.40%, 7.76%]",6.7183
25,15.880105954431823,"[15.62%, 16.16%]",9.2551,21.162309171923372,"[20.89%, 21.44%]",9.2665,13.947526974340374,"[13.71%, 14.19%]",9.2708,,25,7.062622080748157,"[6.89%, 7.22%]",8.4087,7.4787537725217925,"[7.32%, 7.67%]",8.3732,8.20531983860731,"[8.03%, 8.40%]",8.3930
30,13.438003186404673,"[13.20%, 13.68%]",11.1088,19.593284943590277,"[19.29%, 19.86%]",11.1161,13.455308407704363,"[13.22%, 13.71%]",11.1226,,30,6.435082121161095,"[6.25%, 6.61%]",10.0930,8.45225791096201,"[8.24%, 8.64%]",10.0503,6.558188865717654,"[6.39%, 6.72%]",10.0703
,,,,,,,,,,,,,,,,,,,,
AASIST + FFDiffQuadratic,,,,,,,,,,,MHFA + FFDiffQuadratic,,,,,,,,,
,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,,,,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,
Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,,Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs
5,35.75022476458168,"[35.41%, 36.13%]",1.8546,49.05409048223515,"[48.78%, 49.34%]",1.8561,37.92031252023885,"[37.56%, 38.29%]",1.8637,,5,8.739829993653096,"[8.55%, 8.95%]",1.6784,7.568531728041656,"[7.38%, 7.75%]",1.6818,8.900604251130137,"[8.72%, 9.09%]",1.6787
10,27.655239951815346,"[27.33%, 27.98%]",3.7053,49.60712860899188,"[49.44%, 49.79%]",3.7085,29.09401972721267,"[28.77%, 29.42%]",3.7208,,10,8.855993808530757,"[8.67%, 9.03%]",3.3567,7.989753992720491,"[7.79%, 8.17%]",3.3590,7.6289709596777335,"[7.43%, 7.80%]",3.3608
15,21.0628935080243,"[20.77%, 21.39%]",5.5546,40.85723806069712,"[40.47%, 41.21%]",5.5604,20.848260656969288,"[20.57%, 21.13%]",5.5780,,15,6.870747315518827,"[6.69%, 7.04%]",5.0394,7.520954788026371,"[7.36%, 7.67%]",5.0328,8.12137067212414,"[7.94%, 8.33%]",5.0394
20,20.914438104736863,"[20.60%, 21.24%]",7.4063,32.55536484981153,"[32.21%, 32.91%]",7.4148,18.701411117443623,"[18.43%, 18.98%]",5.5780,,20,7.50994485317928,"[7.31%, 7.69%]",6.7216,7.471810842842894,"[7.29%, 7.64%]",6.7103,8.364889382536948,"[8.17%, 8.52%]",6.7227
25,18.10923344947735,"[17.86%, 18.37%]",9.2574,26.013004773130575,"[25.70%, 26.32%]",9.2706,15.728217556312579,"[15.49%, 16.00%]",9.2857,,25,8.333231804463557,"[8.15%, 8.51%]",8.4000,8.063431440488063,"[7.88%, 8.24%]",8.3900,7.375918746680829,"[7.20%, 7.55%]",8.3997
30,15.359196307138323,"[15.12%, 15.60%]",11.1111,21.79798314184682,"[21.50%, 22.10%]",11.1226,14.456403119049776,"[14.23%, 14.73%]",11.1412,,30,7.628142170641036,"[7.45%, 7.82%]",10.0815,7.792698081680763,"[7.61%, 8.02%]",10.0702,7.374999384738936,"[7.20%, 7.54%]",10.0794
,,,,,,,,,,,,,,,,,,,,
AASIST + FFCosine,,,,,,,,,,,MHFA + FFCosine,,,,,,,,,
,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,,,,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,
Epoch #,EER (%),CI 95%,GPU hrs,EER (%),CI 95%,GPU hrs,EER (%),CI 95%,GPU Hrs,,Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs
5,30.55984663808401,"[30.22%, 30.88%]",1.8454,28.823857071616388,"[28.52%, 29.14%]",1.8556,23.565073216066736,"[23.26%, 23.87%]",1.8572,,5,6.405095754051008,"[6.24%, 6.57%]",1.6742,6.719973058041787,"[6.51%, 6.91%]",1.6754,6.280422004326256,"[6.11%, 6.47%]",1.7394
10,16.434797255288007,"[16.18%, 16.69%]",3.6833,19.089318225975674,"[18.80%, 19.38%]",3.7022,15.810133220211647,"[15.55%, 16.10%]",3.7147,,10,4.749260067613953,"[4.58%, 4.90%]",3.3564,5.245455066512959,"[5.08%, 5.41%]",3.3561,5.34911888139062,"[5.17%, 5.53%]",3.4836
15,18.08998529849876,"[17.84%, 18.35%]",5.5247,17.929677538437623,"[17.68%, 18.20%]",5.5546,13.221142054065258,"[12.96%, 13.46%]",5.5630,,15,5.3650382433325134,"[5.19%, 5.53%]",5.0296,5.480826133699468,"[5.31%, 5.66%]",5.0305,6.200268124295688,"[6.01%, 6.39%]",5.2295
20,16.00607499060917,"[15.75%, 16.27%]",7.3635,14.739532272061966,"[14.49%, 15.00%]",7.3963,12.574820440915508,"[12.34%, 12.81%]",7.4081,,20,5.034889220626142,"[4.88%, 5.20%]",6.7085,6.83576094840874,"[6.65%, 7.06%]",6.7057,5.6099428131031175,"[5.45%, 5.78%]",6.9753
25,11.755509921894228,"[11.53%, 12.00%]",9.2016,14.756099277230158,"[14.49%, 15.01%]",9.2508,12.344539946634198,"[12.11%, 12.57%]",9.2582,,25,4.3351618784244135,"[4.17%, 4.49%]",8.3873,6.830670375503542,"[6.65%, 7.01%]",8.3764,5.889186106757509,"[5.71%, 6.07%]",8.7215
30,12.735128200976648,"[12.51%, 12.96%]",11.0460,15.534685213009858,"[15.25%, 15.79%]",11.1034,11.634631458622074,"[11.38%, 11.85%]",11.1048,,30,5.3650382433325134,"[5.21%, 5.54%]",10.0653,5.520255430488453,"[5.34%, 5.71%]",10.0517,5.444544480136782,"[5.27%, 5.64%]",10.4635
,,,,,,,,,,,,,,,,,,,,
AASIST + FFConcat3,,,,,,,,,,,MHFA + FFConcat3,,,,,,,,,
,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,,,,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,
Epoch #,EER (%),CI 95%,GPU hrs,EER (%),EER (%),GPU hrs,EER (%),CI 95%,GPU hrs,,Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs
5,33.9676954587257,"[33.59%, 34.30%]",1.8425,24.256005271815862,"[23.95%, 24.58%]",1.8527,29.348743151172883,"[29.01%, 29.69%]",1.8621,,5,12.880811885548487,"[12.66%, 13.10%]",1.7323,8.380161101252542,"[8.17%, 8.56%]",1.7536,10.195838050334832,"[9.99%, 10.40%]",1.7311
10,25.4484176780695,"[25.11%, 25.73%]",3.6898,20.253220697382226,"[19.98%, 20.52%]",3.7051,22.756682058987344,"[22.46%, 23.04%]",3.7305,,10,8.871446673056745,"[8.66%, 9.07%]",3.4673,7.4134051137909145,"[7.24%, 7.61%]",3.4884,7.177386403378107,"[7.00%, 7.36%]",3.4641
15,27.447355251738927,"[27.11%, 27.79%]",5.5341,22.03641127935443,"[21.76%, 22.32%]",5.5546,22.69679989767237,"[22.42%, 23.00%]",5.5936,,15,8.134790034066034,"[7.94%, 8.33%]",5.2023,6.690167836742096,"[6.48%, 6.85%]",5.2204,7.183034046604406,"[6.98%, 7.36%]",5.1979
20,22.139608596816185,"[21.85%, 22.44%]",7.3760,16.29253293265806,"[16.06%, 16.55%]",7.4018,21.764110915378936,"[21.47%, 22.07%]",7.4555,,20,7.6756149048612095,"[7.50%, 7.87%]",6.9322,5.55579886791964,"[5.39%, 5.71%]",6.9565,8.182095255365724,"[7.99%, 8.35%]",6.8795
25,23.180780248176884,"[22.93%, 23.50%]",9.2195,16.24968427392718,"[15.99%, 16.53%]",9.2544,19.415024319003148,"[19.14%, 19.70%]",9.3205,,25,8.019740359830577,"[7.84%, 8.21%]",8.6666,6.881576104555523,"[6.71%, 7.06%]",8.6876,7.638413889356633,"[7.44%, 7.81%]",8.5592
30,20.986910838957034,"[20.68%, 21.30%]",11.0634,15.005356203774467,"[14.76%, 15.24%]",11.1042,17.594347369920857,"[17.33%, 17.87%]",11.1877,,30,5.6569626827973005,"[5.49%, 5.82%]",10.4085,5.952397057109179,"[5.79%, 6.11%]",10.4172,5.758217070580159,"[5.59%, 5.91%]",10.2392
,,,,,,,,,,,,,,,,,,,,
AASIST + FFAttn3,,,,,,,,,,,MHFA + FFattn3,,,,,,,,,
,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,,,,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,
Epoch #,EER (%),CI 95%,GPU hrs,EER (%),CI 95%,GPU hrs,EER (%),CI 95%,GPU hrs,,Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs
5,24.589859008069638,"[24.26%, 24.92%]",4.8791,23.97981904848257,"[23.67%, 24.29%]",5.1045,31.460606323588458,"[31.16%, 31.80%]",4.9668,,5,5.279793790396746,"[5.07%, 5.46%]",3.7535,6.359280597904227,"[6.18%, 6.55%]",,7.880261388806134,"[7.68%, 8.06%]",3.7578
10,15.789770928590857,"[15.49%, 16.07%]",9.9327,17.14535338652643,"[16.88%, 17.39%]",10.2702,21.05494064349831,"[20.77%, 21.36%]",10.0591,,10,6.830670375503542,"[6.64%, 7.04%]",7.5120,5.639838607,"[5.46%, 5.84%]",3.7351,6.080037304249835,"[5.91%, 6.26%]",7.5072
15,16.38009623978343,"[16.09%, 16.66%]",14.9109,18.754726273590407,"[18.50%, 19.02%]",15.4435,18.348866300532364,"[18.08%, 18.64%]",15.1607,,15,6.730154203852182,"[6.53%, 6.97%]",11.2679,6.875190245,"[6.68%, 7.09%]",4.1158,5.674824974418093,"[5.50%, 5.85%]",11.2496
20,15.675278324676501,"[15.42%, 15.94%]",19.8890,18.834880153620972,"[18.56%, 19.11%]",20.6108,21.329093364247502,"[21.04%, 21.66%]",20.1960,,20,6.099104309418028,"[5.93%, 6.27%]",15.0256,6.310965441757445,"[6.12%, 6.54%]",4.0899,6.209153983653485,"[6.02%, 6.40%]",14.9851
25,14.96472219343808,"[14.69%, 15.26%]",24.7631,17.324728151755757,"[17.07%, 17.59%]",25.7811,17.020679636801678,"[16.77%, 17.29%]",25.2013,,25,5.7447977086382656,"[5.58%, 5.92%]",18.7872,7.885351961711333,"[7.68%, 8.10%]",4.0757,7.314741298913255,"[7.10%, 7.53%]",18.7195
30,14.865501308239319,"[14.61%, 15.14%]",29.5795,16.02,,30.9222,22.59498843956841,"[22.25%, 22.93%]",33.0404,,30,5.779136432522052,"[5.59%, 5.98%]",22.5325,7.015135714,"[6.82%, 7.21%]",3.993,4.875229103791304,"[4.71%, 5.04%]",22.4658